Movie Title,Year,Score,Director,Synopsis,Cast,Consensus
The Perks of Being a Wallflower,2012,86%,Stephen Chbosk," Based on the best-selling novel by Stephen Chbosky, The Perks of Being a Wallflower is a modern classic that captures...","Logan Lerman, Emma Watson, Ezra Miller, Mae Whitman",The Perks of Being a Wallflower is a heartfelt and sincere adaptation that's bolstered by strong lead performances.
Okja,2017,86%,ong Joon Ho," For 10 idyllic years, young Mija (An Seo Hyun) has been caretaker and constant companion to Okja--a massive animal and...","Tilda Swinton, Paul Dano, Seo-hyeon Ahn, Byun Hee-bong",Okja sees Bong Joon-ho continuing to create defiantly eclectic entertainment -- and still hitting more than enough of his narrative targets in the midst of a tricky tonal juggling act.
Steve Jobs,2015,86%,anny Boyl," Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes...","Michael Fassbender, Kate Winslet, Seth Rogen, Katherine Waterston","Like the tech giant co-founded by its subject, Steve Jobs gathers brilliant people to deliver a product whose elegance belies the intricate complexities at its core."
"Hail, Caesar!",2016,86%,"Joel Coen, Ethan Coen"," Four-time Oscar (R)-winning filmmakers Joel and Ethan Coen (No Country for Old Men, True Grit, Fargo) write and direct Hail,...","Josh Brolin, George Clooney, Tilda Swinton, Ralph Fiennes","Packed with period detail and perfectly cast, Hail, Caesar! finds the Coen brothers delivering an agreeably lightweight love letter to post-war Hollywood."
Ravenous (Les affamés),2018,87%,Robin Aub," A group of people transform into zombies in a small Canadian town. Labeled the ""hungry,"" they feast upon their loved...","Marc-Andre Grondin, Monia Chokri, Micheline Lanctôt, Brigitte Poupart","Uncommonly restrained for a movie about a flesh-eating menace, Ravenous offers a satisfyingly nuanced entry in the crowded zombie apocalypse subgenre."
The Naked Gun: From the Files of Police Squad!,1988,87%,avid Zuck," Seeking vengeance when his partner (Simpson) is shot full of holes by drug dealers, Lt. Frank Drebin searches for the...","Leslie Nielsen, Priscilla Presley, Ricardo Montalban, George Kennedy","The Naked Gun is chock full of gags that are goofy, unapologetically crass, and ultimately hilarious."
First They Killed My Father,2017,87%,Angelina Jol, Angelina Jolie directed this biopic about a human rights activist and her attempts to survive during the oppressive Khmer Rouge...,"Sreymoch Sareum, Phoeung Kompheak, Sveng Socheata, Tharoth Sam","First They Killed My Father tackles its subject matter with grace, skill, and empathy, offering a ground-level look at historic atrocities that resonates beyond its story's borders."
Mountain,2018,87%,Jennifer Peedom," Only three centuries ago, setting out to climb a mountain would have been considered close to lunacy. Mountains were places...",Willem Dafoe,Mountain offers a visually thrilling -- and surprisingly affecting -- look at man's relationship with some of Earth's most imposing natural wonders.
Freaks,2019,87%,"Zach Lipovsky, Adam B. Stein"," Kept locked inside the house by her father, 7-year-old Chloe lives in fear and fascination of the outside world, where...","Emile Hirsch, Bruce Dern, Grace Park, Amanda Crew","Stocked with solid performances, Freaks is a clever sci-fi/horror hybrid that suggests a bright future for co-writers/co-directors Zach Lipovsky and Adam Stein."
Even the Rain (Meme La Pluie),2011,87%,Iciar Bollain," TAMBIEN LA LLUVIA sets up an intriguing dialogue about Spanish imperialism through incidents taking place some 500 years apart, while...","Luis Tosar, Juan Carlos Aduviri, Karra Elejalde, Gael García Bernal",No consensus yet.
Chasing Amy,1997,87%,Kevin Smith," After a pair of films about hipster slackers, the work of writer-director Kevin Smith matured and gained critical respect with...","Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell","Chasing Amy explores gender roles, sexual mores, and the limits of friendship with a mixture of sensitivity, raw honesty, and director/screenwriter Kevin Smith's signature raunchy humor."
The Matrix,1999,87%,"Lilly Wachowski, Lana Wachowsk"," What if virtual reality wasn't just for fun, but was being used to imprison you? That's the dilemma that faces...","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
American Beauty,1999,87%,Sam Mendes," A biting, penetrating and often humorous take on contemporary life in suburban America, Lester Burnham becomes intrigued by a young...","Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley","Flawlessly cast and brimming with dark, acid wit, American Beauty is a smart, provocative high point of late '90s mainstream Hollywood film."
Blue Valentine,2010,87%,"Andrij Parekh, Derek Cianfran"," A complex portrait of a contemporary American marriage, ""Blue Valentine"" tells the story of David and Cindy, a couple who...","Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman","This emotionally gripping examination of a marriage on the rocks isn't always easy to watch, but Michelle Williams and Ryan Gosling give performances of unusual depth and power."
It Comes At Night,2017,87%,Trey Edward Shults, Imagine the end of the world. Now imagine something worse. Award-winning filmmaker Trey Edward Shults follows his incredible debut feature...,"Joel Edgerton, Riley Keough, Christopher Abbott, Carmen Ejogo",It Comes at Night makes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.
Inception,2010,87%,Christopher Nolan," Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who...","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
Winter on Fire: Ukraine's Fight for Freedom,2015,88%,Evgeny Afineevsk," Chronicling events that unfolded over 93 days in 2013 and 2014, this documentary witnesses the formation of a new civil...",,No consensus yet.
Burning Sands,2017,88%,Gerard McMurra," Burning Sands takes you on a raw, voyeuristic journey of fraternity pledging through the eyes of one favored pledgee, who...","Trevor Jackson, Alfre Woodard, Trevante Rhodes, DeRon Horton","Burning Sands covers familiar territory, but Trevor Jackson's layered performance and director/co-writer Gerard McMurray's empathetic approach help set it apart."
Get Me Roger Stone,2017,88%,"lan Bank, Daniel DiMauro, Morgan Pehm"," After the 2016 election, people all over the world woke up to find that Donald J. Trump, New York real...","Roger Stone, Donald Trump, Paul Manafort, Jeffrey Toobin","As informative as it is entertaining, Get Me Roger Stone offers a close-up look at the right-wing gadfly who helped shape the 2016 presidential election."
